id,ref_type,start_offset,end_offset,duration
68,mux,14036,18691,4655
68,trans,564,19182,18618
68,trans,223982,289145,65163
68,trans,293800,321727,27927
68,trans,172782,186745,13963
68,trans,334127,338782,4655
68,trans,144855,158818,13963
68,trans,331036,363618,32582
68,trans,56418,70382,13964
68,trans,23873,51764,27891
68,trans,154655,159309,4654
68,trans,14036,18691,4655
69,mux,146764,165382,18618
69,mux,81600,142109,60509
69,mux,170036,244509,74473
69,mux,2691,12000,9309
69,mux,11782,76945,65163
69,mux,263127,281745,18618
69,mux,249164,258473,9309
69,trans,146764,165382,18618
69,trans,81600,142109,60509
69,trans,170036,244509,74473
69,trans,2473,76945,74472
69,trans,249164,258473,9309
69,trans,263127,281745,18618
70,mux,69182,101764,32582
70,mux,-508,41255,41763
70,mux,45909,59873,13964
70,trans,69182,101764,32582
70,trans,-635,41255,41890
70,trans,45909,59873,13964
71,mux,745,14727,13982
71,mux,14473,265836,251363
71,mux,270473,330982,60509
71,trans,312382,331000,18618
71,trans,270491,307727,37236
71,trans,527,265818,265291
72,mux,276818,332673,55855
72,mux,258200,262855,4655
72,mux,146491,179073,32582
72,mux,-2344,113909,116253
72,mux,183727,207000,23273
72,mux,337327,360582,23255
72,mux,118564,141836,23272
72,mux,211655,248891,37236
72,trans,276818,360600,83782
72,trans,-2454,113909,116363
72,trans,146491,207000,60509
72,trans,118564,141836,23272
72,trans,216309,248891,32582
72,trans,253545,262855,9310
73,mux,174618,197891,23273
73,mux,7109,53600,46491
73,mux,58255,62909,4654
73,mux,118764,169964,51200
73,mux,67564,95491,27927
73,mux,100145,114109,13964
73,mux,222455,227109,4654
73,mux,187345,192000,4655
73,mux,186055,190709,4654
73,mux,228964,233618,4654
73,trans,174618,197891,23273
73,trans,7055,53600,46545
73,trans,118764,165309,46545
73,trans,67564,95491,27927
73,trans,58255,62909,4654
73,trans,100145,114109,13964
73,trans,222436,227091,4655
73,trans,187327,191982,4655
73,trans,228964,233618,4654
73,trans,186055,190709,4654
74,mux,110764,148000,37236
74,mux,157309,292291,134982
74,mux,296945,371418,74473
74,mux,31636,50255,18619
74,mux,3745,13055,9310
74,mux,54909,101455,46546
74,mux,17673,26982,9309
74,trans,110764,148000,37236
74,trans,157309,292291,134982
74,trans,54909,87491,32582
74,trans,296945,371418,74473
74,trans,31636,50255,18619
74,trans,3709,13018,9309
74,trans,92145,101455,9310
74,trans,17673,26982,9309
75,mux,121927,126582,4655
75,mux,303455,373273,69818
75,mux,149855,159164,9309
75,mux,168473,196400,27927
75,mux,284836,298800,13964
75,mux,28836,42800,13964
75,mux,98655,112618,13963
75,mux,47455,61418,13963
75,mux,131236,135891,4655
75,mux,201055,205709,4654
75,mux,256909,261564,4655
75,mux,89345,94000,4655
75,trans,149855,159164,9309
75,trans,303455,377945,74490
75,trans,121927,126582,4655
75,trans,173145,196400,23255
75,trans,284855,298818,13963
75,trans,28855,42818,13963
75,trans,47455,61436,13981
75,trans,98673,112618,13945
75,trans,256927,261582,4655
75,trans,201055,205709,4654
76,mux,315436,324745,9309
76,mux,250273,310782,60509
76,mux,17545,240964,223419
76,mux,-654,13309,13963
76,trans,315436,324745,9309
76,trans,17545,240964,223419
76,trans,245618,310782,65164
76,trans,-1072,12891,13963
77,mux,71255,75909,4654
77,mux,243473,252782,9309
77,mux,80564,238818,158254
77,mux,146055,150709,4654
77,mux,15400,66600,51200
77,mux,151000,155655,4655
77,mux,325255,329909,4654
77,mux,324927,329582,4655
77,mux,1836,15800,13964
77,trans,243491,252800,9309
77,trans,80582,238836,158254
77,trans,146055,150709,4654
77,trans,325255,329909,4654
77,trans,151000,155655,4655
77,trans,1455,75927,74472
77,trans,324945,329600,4655
78,mux,71982,90600,18618
78,mux,6855,48709,41854
78,mux,188345,202309,13964
78,mux,234891,337291,102400
78,mux,141800,151109,9309
